id,name,alcoholic,category,glassType,instructions,ingredients,ingredientMeasures,combinedIngredients
0,A1,Alcoholic,Cocktail,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","['Gin', 'Grand Marnier', 'Lemon Juice', 'Grenadine']","['1 3/4 shot ', '1 Shot ', '1/4 Shot', '1/8 Shot']","['Gin (1 3/4 shot)', 'Grand Marnier (1 Shot)', 'Lemon Juice (1/4 Shot)', 'Grenadine (1/8 Shot)']"
1,ABC,Alcoholic,Shot,Shot glass,Layered in a shot glass.,"['Amaretto', 'Baileys irish cream', 'Cognac']","['1/3 ', '1/3 ', '1/3 ']","['Amaretto (1/3)', 'Baileys irish cream (1/3)', 'Cognac (1/3)']"
2,Ace,Alcoholic,Cocktail,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,"['Gin', 'Grenadine', 'Heavy cream', 'Milk', 'Egg White']","['2 shots ', '1/2 shot ', '1/2 shot ', '1/2 shot', '1/2 Fresh']","['Gin (2 shots)', 'Grenadine (1/2 shot)', 'Heavy cream (1/2 shot)', 'Milk (1/2 shot)', 'Egg White (1/2 Fresh)']"
3,ACID,Alcoholic,Shot,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,"['151 proof rum', 'Wild Turkey']","['1 oz Bacardi ', '1 oz ']","['151 proof rum (1 oz Bacardi)', 'Wild Turkey (1 oz)']"
4,Adam,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['Dark rum', 'Lemon juice', 'Grenadine']","['2 oz ', '1 oz ', '1 tsp ']","['Dark rum (2 oz)', 'Lemon juice (1 oz)', 'Grenadine (1 tsp)']"
5,AT&T,Alcoholic,Ordinary Drink,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir","['Absolut Vodka', 'Gin', 'Tonic water']","['1 oz ', '1 oz ', '4 oz ']","['Absolut Vodka (1 oz)', 'Gin (1 oz)', 'Tonic water (4 oz)']"
6,A. J.,Alcoholic,Ordinary Drink,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.","['Applejack', 'Grapefruit juice']","['1 1/2 oz ', '1 oz ']","['Applejack (1 1/2 oz)', 'Grapefruit juice (1 oz)']"
7,Avalon,Alcoholic,Ordinary Drink,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","['Vodka', 'Pisang Ambon', 'Apple juice', 'Lemon juice', 'Lemonade']","['3 parts', '1 part ', '6 parts ', '1 1/2 part ', None]","['Vodka (3 parts)', 'Pisang Ambon (1 part)', 'Apple juice (6 parts)', 'Lemon juice (1 1/2 part)', 'Lemonade']"
8,Apello,Non alcoholic,Other / Unknown,Collins Glass,Stirr. Grnish with maraschino cherry.,"['Orange juice', 'Grapefruit juice', 'Apple juice', 'Maraschino cherry']","['4 cl ', '3 cl ', '1 cl ', '1 ']","['Orange juice (4 cl)', 'Grapefruit juice (3 cl)', 'Apple juice (1 cl)', 'Maraschino cherry (1)']"
9,Affair,Alcoholic,Ordinary Drink,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","['Strawberry schnapps', 'Orange juice', 'Cranberry juice', 'Club soda']","['2 oz ', '2 oz ', '2 oz ', None]","['Strawberry schnapps (2 oz)', 'Orange juice (2 oz)', 'Cranberry juice (2 oz)', 'Club soda']"
10,Abilene,Alcoholic,Ordinary Drink,Highball glass,Pour all of the ingredients into a highball glass almost filled with ice cubes. Stir well.,"['Dark rum', 'Peach nectar', 'Orange juice']","['1 1/2 oz ', '2 oz ', '3 oz ']","['Dark rum (1 1/2 oz)', 'Peach nectar (2 oz)', 'Orange juice (3 oz)']"
11,Almeria,Alcoholic,Ordinary Drink,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","['Dark rum', 'Kahlua', 'Egg white']","['2 oz ', '1 oz ', '1 ']","['Dark rum (2 oz)', 'Kahlua (1 oz)', 'Egg white (1)']"
12,Addison,Alcoholic,Cocktail,Martini Glass,Shake together all the ingredients and strain into a cold glass.,"['Gin', 'Vermouth']","['1 1/2 shot ', '1 1/2 shot ']","['Gin (1 1/2 shot)', 'Vermouth (1 1/2 shot)']"
13,Applecar,Alcoholic,Ordinary Drink,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.","['Applejack', 'Triple sec', 'Lemon juice']","['1 oz ', '1 oz ', '1 oz ']","['Applejack (1 oz)', 'Triple sec (1 oz)', 'Lemon juice (1 oz)']"
14,Acapulco,Alcoholic,Ordinary Drink,Old-fashioned glass,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,"['Light rum', 'Triple sec', 'Lime juice', 'Sugar', 'Egg white', 'Mint']","['1 1/2 oz ', '1 1/2 tsp ', '1 tblsp ', '1 tsp ', '1 ', '1 ']","['Light rum (1 1/2 oz)', 'Triple sec (1 1/2 tsp)', 'Lime juice (1 tblsp)', 'Sugar (1 tsp)', 'Egg white (1)', 'Mint (1)']"
15,Affinity,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Orange bitters']","['1 1/2 oz ', '1 oz ', '1 oz ', '2 dashes ']","['Scotch (1 1/2 oz)', 'Sweet Vermouth (1 oz)', 'Dry Vermouth (1 oz)', 'Orange bitters (2 dashes)']"
16,Aviation,Alcoholic,Cocktail,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,"['Gin', 'lemon juice', 'maraschino liqueur']","['4.5 cl', '1.5 cl', '1.5 cl']","['Gin (4.5 cl)', 'lemon juice (1.5 cl)', 'maraschino liqueur (1.5 cl)']"
17,After sex,Alcoholic,Ordinary Drink,Highball glass,Pour the vodka and creme over some ice cubes in a tall glass and fill up with juice. to make it beuty full make the top of the glass with a grenadine and sugar,"['Vodka', 'Creme de Banane', 'Orange juice']","['2 cl ', '1 cl ', None]","['Vodka (2 cl)', 'Creme de Banane (1 cl)', 'Orange juice']"
18,Applejack,Alcoholic,Cocktail,Cocktail glass,"Add all ingredients into mixing glass, chill and strain into cocktail glass","['Jack Daniels', 'Midori melon liqueur', 'Sour mix']","['1 oz ', '1/2 oz ', '2 oz ']","['Jack Daniels (1 oz)', 'Midori melon liqueur (1/2 oz)', 'Sour mix (2 oz)']"
19,Afterglow,Non alcoholic,Cocktail,Highball Glass,Mix. Serve over ice.,"['Grenadine', 'Orange juice', 'Pineapple juice']","['1 part ', '4 parts ', '4 parts ']","['Grenadine (1 part)', 'Orange juice (4 parts)', 'Pineapple juice (4 parts)']"
20,Afternoon,Alcoholic,Coffee / Tea,Collins Glass,"Build into a suiting glass, with no ice. Cream on top if wanted. Served directly.","['Kahlua', 'Baileys irish cream', 'Frangelico', 'Coffee', 'Cream']","['1 cl ', '1 cl ', '1 1/2 ', '4 cl hot ', None]","['Kahlua (1 cl)', 'Baileys irish cream (1 cl)', 'Frangelico (1 1/2)', 'Coffee (4 cl hot)', 'Cream']"
21,Alexander,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients with ice and strain contents into a cocktail glass. Sprinkle nutmeg on top and serve.,"['Gin', 'Creme de Cacao', 'Light cream', 'Nutmeg']","['1/2 oz ', '1/2 oz white ', '2 oz ', None]","['Gin (1/2 oz)', 'Creme de Cacao (1/2 oz white)', 'Light cream (2 oz)', 'Nutmeg']"
22,Autodafé,Alcoholic,Ordinary Drink,Highball glass,Mix and fill up with soda water. Drunk by finns on a sunny day any time of the year and day.,"['Vodka', 'Lime juice', 'Soda water']","['4 cl ', '1 dash ', None]","['Vodka (4 cl)', 'Lime juice (1 dash)', 'Soda water']"
23,Allegheny,Alcoholic,Ordinary Drink,Cocktail glass,Shake all ingredients (except lemon peel) with ice and strain into a cocktail glass. Top with the twist of lemon peel and serve.,"['Dry Vermouth', 'Bourbon', 'Blackberry brandy', 'Lemon juice', 'Lemon peel']","['1 oz ', '1 oz ', '1 1/2 tsp ', '1 1/2 tsp ', '1 twist of ']","['Dry Vermouth (1 oz)', 'Bourbon (1 oz)', 'Blackberry brandy (1 1/2 tsp)', 'Lemon juice (1 1/2 tsp)', 'Lemon peel (1 twist of)']"
24,Americano,Alcoholic,Ordinary Drink,Collins glass,"Pour the Campari and vermouth over ice into glass, add a splash of soda water and garnish with half orange slice.","['Campari', 'Sweet Vermouth', 'Lemon peel', 'Orange peel']","['1 oz ', '1 oz red ', 'Twist of ', 'Twist of ']","['Campari (1 oz)', 'Sweet Vermouth (1 oz red)', 'Lemon peel (Twist of)', 'Orange peel (Twist of)']"
25,B-52,Alcoholic,Shot,Shot glass,Layer ingredients into a shot glass. Serve with a stirrer.,"['Baileys irish cream', 'Grand Marnier', 'Kahlua']","['1/3 ', '1/3 ', '1/4 ']","['Baileys irish cream (1/3)', 'Grand Marnier (1/3)', 'Kahlua (1/4)']"
26,B-53,Alcoholic,Shot,Collins Glass,"Layer the Kahlua, Sambucca and Grand Marnier into a shot glas in that order. Better than B-52","['Kahlua', 'Sambuca', 'Grand Marnier']","['1/3 shot ', '1/3 shot ', '1/3 shot ']","['Kahlua (1/3 shot)', 'Sambuca (1/3 shot)', 'Grand Marnier (1/3 shot)']"
27,Bijou,Alcoholic,Cocktail,Cocktail glass,"Stir in mixing glass with ice and strain
","['Orange Bitters', 'Green Chartreuse', 'Gin', 'Sweet Vermouth']","['1 dash', '1 oz', '1 oz', '1 oz']","['Orange Bitters (1 dash)', 'Green Chartreuse (1 oz)', 'Gin (1 oz)', 'Sweet Vermouth (1 oz)']"
28,Boxcar,Alcoholic,Ordinary Drink,Whiskey sour glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a sour glass.","['Gin', 'Triple sec', 'Lemon juice', 'Grenadine', 'Egg white']","['1 1/2 oz ', '1 oz ', '1 tsp ', '1/2 tsp ', '1 ']","['Gin (1 1/2 oz)', 'Triple sec (1 oz)', 'Lemon juice (1 tsp)', 'Grenadine (1/2 tsp)', 'Egg white (1)']"
29,Big Red,Alcoholic,Shot,Shot glass,Pour ingredients into 1 ounce shot glass,"['Irish cream', 'Goldschlager']","['1/2 oz ', '1/2 oz ']","['Irish cream (1/2 oz)', 'Goldschlager (1/2 oz)']"
30,Bellini,Alcoholic,Ordinary Drink,Champagne Flute,"Pour peach purée into chilled flute, add sparkling wine. Stir gently.","['Champagne', 'Peach schnapps']","['6 oz ', '1 oz ']","['Champagne (6 oz)', 'Peach schnapps (1 oz)']"
31,Bramble,Alcoholic,Ordinary Drink,Old-Fashioned glass,"Fill glass with crushed ice. Build gin, lemon juice and simple syrup over. Stir, and then pour blackberry liqueur over in a circular fashion to create marbling effect. Garnish with two blackberries and lemon slice.","['Gin', 'lemon juice', 'Sugar syrup', 'Creme de Mure']","['4 cl', '1.5 cl', '1 cl', '1.5 cl']","['Gin (4 cl)', 'lemon juice (1.5 cl)', 'Sugar syrup (1 cl)', 'Creme de Mure (1.5 cl)']"
32,Balmoral,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.","['Scotch', 'Sweet Vermouth', 'Dry Vermouth', 'Bitters']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ']","['Scotch (1 1/2 oz)', 'Sweet Vermouth (1/2 oz)', 'Dry Vermouth (1/2 oz)', 'Bitters (2 dashes)']"
33,Bluebird,Alcoholic,Ordinary Drink,Cocktail glass,"In a mixing glass half-filled with crushed ice, combine the gin, triple sec, Curacao, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist and the cherry.","['Gin', 'Triple sec', 'Blue Curacao', 'Bitters', 'Maraschino cherry', 'Lemon peel']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ', '2 dashes ', '1 ', '1 twist of ']","['Gin (1 1/2 oz)', 'Triple sec (1/2 oz)', 'Blue Curacao (1/2 oz)', 'Bitters (2 dashes)', 'Maraschino cherry (1)', 'Lemon peel (1 twist of)']"
34,Brooklyn,Alcoholic,Cocktail,Cocktail glass,Combine ingredients with ice and stir until well-chilled. Strain into a chilled cocktail glass.,"['Rye Whiskey', 'Dry Vermouth', 'Maraschino Liqueur', 'Angostura Bitters', 'Maraschino Cherry']","['2 oz', '1 oz', '1/4 oz', '3 dashes', '1']","['Rye Whiskey (2 oz)', 'Dry Vermouth (1 oz)', 'Maraschino Liqueur (1/4 oz)', 'Angostura Bitters (3 dashes)', 'Maraschino Cherry (1)']"
35,Bora Bora,Non alcoholic,Cocktail,Highball glass,"Prepare in a blender or shaker, serve in a highball glass on the rocks. Garnish with 1 slice of pineapple and one cherry.","['Pineapple juice', 'Passion fruit juice', 'Lemon juice', 'Grenadine']","['10 cl ', '6 cl ', '1 cl ', '1 cl ']","['Pineapple juice (10 cl)', 'Passion fruit juice (6 cl)', 'Lemon juice (1 cl)', 'Grenadine (1 cl)']"
